SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.5200, 26, -0.03064646, -1.00508308, 0.05896532, 0.11973188, 0.00846125, 0.08206788, -34.69640350, -66.04047394, 7.66421652, 90.66365814, -1.41701484, -149.30810547, -0.19451311, 0.17981680, -0.68808091, -0.67555553, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.5400, 27, 0.00362153, -0.99488467, 0.14599235, 0.03832129, 0.07974474, 0.13652600, 0.38108814, -39.55974579, 11.30822372, 23.53418350, 7.09186602, -65.67156982, 0.81415665, -0.20385446, 0.05949298, 0.54041928, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.5400, 27, -0.03288303, -1.00314128, 0.05706276, 0.05591778, 0.11582708, -0.03379923, -34.36945724, -66.15571594, 7.16823244, 90.66432953, -1.41637826, -149.30586243, -0.19452158, 0.17983527, -0.68808037, -0.67554879, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.5600, 28, 0.00396444, -0.99437118, 0.14803974, 0.26025560, 0.46139041, 0.06343244, -0.06437927, -39.74048615, 11.37438774, 23.60127258, 7.08619595, -65.67586517, 0.81402481, -0.20430313, 0.05985797, 0.54040802, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.5600, 28, -0.03193139, -1.00501716, 0.05668011, 0.01560697, 0.15002656, -0.04768502, -34.81529617, -66.55905151, 7.69338894, 90.66415405, -1.41530645, -149.30297852, -0.19453251, 0.17985867, -0.68807304, -0.67554682, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.5800, 29, 0.00398738, -0.99405921, 0.14690337, 0.15026265, 0.25526115, -0.05693258, 0.08410987, -39.37900162, 10.44811535, 23.60377121, 7.08683252, -65.66963196, 0.81404889, -0.20432702, 0.05985405, 0.54036325, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.5800, 29, -0.03204680, -1.00382555, 0.05844821, -0.02654715, 0.14521609, 0.04139332, -35.02335739, -66.55905151, 7.63504410, 90.64481354, -1.45603907, -149.28781128, -0.19489510, 0.17967500, -0.68799835, -0.67556727, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.6000, 30, -0.03140604, -1.00427151, 0.05702334, 0.08704207, 0.07324063, 0.06069891, -34.81529617, -66.67430115, 6.81813288, 90.64685059, -1.45711207, -149.28681946, -0.19490415, 0.17967805, -0.68801051, -0.67555147, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.6000, 30, 0.00446368, -0.99524838, 0.14626603, -0.09409624, 0.49979895, -0.24191543, 0.67806643, -39.92123413, 11.17589951, 23.63407326, 7.08810329, -65.66480255, 0.81401587, -0.20455059, 0.05997913, 0.54031461, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.6200, 31, 0.00527416, -0.99548280, 0.14594486, -0.02255728, 0.57357717, -0.27989551, 0.44048342, -39.50810623, 10.74584579, 23.63300896, 7.09238672, -65.65343475, 0.81406528, -0.20456836, 0.05992288, 0.54023957, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.6200, 31, -0.03173701, -1.00566006, 0.05605062, 0.20492718, -0.05886009, 0.30464798, -34.69640350, -67.10645294, 7.98514318, 90.60439301, -1.50646067, -149.26066589, -0.19541901, 0.17946967, -0.68779558, -0.67567688, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.6400, 32, -0.03099433, -1.00652504, 0.05626466, 0.29724234, 0.08706064, 0.25928697, -34.54779053, -66.53025055, 8.01432323, 90.61054993, -1.51111174, -149.25909424, -0.19544640, 0.17946202, -0.68783665, -0.67562926, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.6400, 32, 0.00609658, -0.99542147, 0.14785971, -0.11628357, 0.26159170, -0.20022503, 0.79685694, -39.68884659, 11.20898151, 23.63088226, 7.09593391, -65.64830017, 0.81408823, -0.20457199, 0.05987808, 0.54020858, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.6600, 33, 0.00724011, -0.99577373, 0.14558594, 0.02275503, -0.03629728, -0.07190094, 0.26229760, -39.58556747, 11.01049328, 23.71663857, 7.10799503, -65.68012238, 0.81376785, -0.20521905, 0.06025219, 0.54040426, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.6600, 33, -0.03070818, -1.00601661, 0.05595759, 0.28056177, 0.10167360, 0.34396863, -34.54779053, -66.29976654, 7.10988760, 90.61632538, -1.51742220, -149.25735474, -0.19548526, 0.17944489, -0.68787777, -0.67558074, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.6800, 34, -0.03005732, -1.00577152, 0.05731141, 0.25408930, -0.21001047, 0.38455790, -34.87474442, -66.61667633, 7.83926630, 90.62133789, -1.52832305, -149.25996399, -0.19552696, 0.17937297, -0.68792820, -0.67553633, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.6800, 34, 0.00676355, -0.99580258, 0.14613920, 0.05446296, -0.62462419, 0.10406074, -0.03468066, -40.79913330, 11.04357529, 23.71809196, 7.10742760, -65.69386292, 0.81370127, -0.20521960, 0.06028776, 0.54050040, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.7000, 35, -0.03454634, -1.00552738, 0.04608546, 0.22156452, -0.30931768, 0.61047333, -35.02335739, -66.67430115, 7.28493738, 90.62616730, -1.53884840, -149.26887512, -0.19552958, 0.17926519, -0.68798691, -0.67550445, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
